date,country,category,rim_diameter,sales
2010-01-01,010885e44f,00c2ae96f6,14,299.0
2010-01-01,010885e44f,00c2ae96f6,15,554.0
2010-01-01,010885e44f,00c2ae96f6,16,40503.0
2010-01-01,010885e44f,00c2ae96f6,17,12365.0
2010-01-01,010885e44f,00c2ae96f6,18,3851.0
2010-01-01,010885e44f,00c2ae96f6,19,73.0
2010-01-01,010885e44f,00c2ae96f6,20,1374.0
2010-01-01,010885e44f,00c2ae96f6,22,69.0
2010-01-01,010885e44f,00c2ae96f6,24,0.0
2010-01-01,010885e44f,badf24e062,12,0.0
2010-01-01,010885e44f,badf24e062,13,7155.0
2010-01-01,010885e44f,badf24e062,14,48248.0
2010-01-01,010885e44f,badf24e062,15,123224.0
2010-01-01,010885e44f,badf24e062,16,86312.0
2010-01-01,010885e44f,badf24e062,17,18841.0
2010-01-01,010885e44f,badf24e062,18,6200.0
2010-01-01,010885e44f,badf24e062,19,3.0
2010-01-01,010885e44f,badf24e062,20,0.0
2010-01-01,010885e44f,44bd7ae60f,13,0.0
2010-01-01,010885e44f,44bd7ae60f,14,7684.0
2010-01-01,010885e44f,44bd7ae60f,15,39725.0
2010-01-01,010885e44f,44bd7ae60f,16,47896.0
2010-01-01,010885e44f,44bd7ae60f,17,13791.0
2010-01-01,010885e44f,44bd7ae60f,18,2796.0
2010-01-01,010885e44f,44bd7ae60f,19,75.0
2010-01-01,010885e44f,44bd7ae60f,20,230.0
2010-01-01,010885e44f,d974f028af,14,450.0
2010-01-01,010885e44f,d974f028af,15,31126.0
2010-01-01,010885e44f,d974f028af,16,82370.0
2010-01-01,010885e44f,d974f028af,17,67197.0
2010-01-01,010885e44f,d974f028af,18,24723.0
2010-01-01,010885e44f,d974f028af,19,2633.0
2010-01-01,010885e44f,d974f028af,20,9860.0
2010-01-01,010885e44f,d974f028af,21,29.0
2010-01-01,010885e44f,d974f028af,22,1471.0
2010-01-01,010885e44f,d974f028af,23,0.0
2010-01-01,010885e44f,d974f028af,24,38.0
2010-01-01,010885e44f,d974f028af,25,0.0
2010-01-01,010885e44f,d974f028af,26,10.0
2010-01-01,010885e44f,d974f028af,28,0.0
2010-01-01,010885e44f,d974f028af,30,2.0
2010-01-01,010885e44f,de5a6f7811,13,8.0
2010-01-01,010885e44f,de5a6f7811,14,1.0
2010-01-01,010885e44f,de5a6f7811,15,4131.0
2010-01-01,010885e44f,de5a6f7811,16,12263.0
2010-01-01,010885e44f,de5a6f7811,17,21586.0
2010-01-01,010885e44f,de5a6f7811,18,1876.0
2010-01-01,010885e44f,de5a6f7811,19,170.0
2010-01-01,010885e44f,de5a6f7811,20,312.0
2010-01-01,010885e44f,de5a6f7811,21,0.0
2010-01-01,010885e44f,de5a6f7811,22,0.0
2010-01-01,010885e44f,de5a6f7811,24,0.0
2010-01-01,010885e44f,a7e721a9ec,13,-19.0
2010-01-01,010885e44f,a7e721a9ec,14,500.0
2010-01-01,010885e44f,a7e721a9ec,15,4591.0
2010-01-01,010885e44f,a7e721a9ec,16,12204.0
2010-01-01,010885e44f,a7e721a9ec,17,6588.0
2010-01-01,010885e44f,a7e721a9ec,18,2632.0
2010-01-01,010885e44f,a7e721a9ec,19,2209.0
2010-01-01,010885e44f,a7e721a9ec,20,1615.0
2010-01-01,010885e44f,a7e721a9ec,21,33.0
2010-01-01,010885e44f,a7e721a9ec,22,34.0
2010-01-01,010885e44f,bbeebd879e,14,0.0
2010-01-01,010885e44f,bbeebd879e,15,131.0
2010-01-01,010885e44f,bbeebd879e,16,1972.0
2010-01-01,010885e44f,bbeebd879e,17,10753.0
2010-01-01,010885e44f,bbeebd879e,18,6909.0
2010-01-01,010885e44f,bbeebd879e,19,2300.0
2010-01-01,010885e44f,bbeebd879e,20,961.0
2010-01-01,010885e44f,bbeebd879e,21,44.0
2010-01-01,010885e44f,bbeebd879e,22,22.0
2010-01-01,010885e44f,bbeebd879e,23,0.0
2010-01-01,010885e44f,bbeebd879e,24,6.0
2010-01-01,010885e44f,bbeebd879e,26,0.0
2010-01-01,010885e44f,bbeebd879e,28,0.0
2010-01-01,7c099db665,00c2ae96f6,13,8.0
2010-01-01,7c099db665,00c2ae96f6,14,1244.0
2010-01-01,7c099db665,00c2ae96f6,15,11004.0
2010-01-01,7c099db665,00c2ae96f6,16,600909.0
2010-01-01,7c099db665,00c2ae96f6,17,120448.0
2010-01-01,7c099db665,00c2ae96f6,18,28221.0
2010-01-01,7c099db665,00c2ae96f6,19,2163.0
2010-01-01,7c099db665,00c2ae96f6,20,13537.0
2010-01-01,7c099db665,00c2ae96f6,22,997.0
2010-01-01,7c099db665,00c2ae96f6,24,56.0
2010-01-01,7c099db665,00c2ae96f6,70,0.0
2010-01-01,7c099db665,badf24e062,10,6.0
2010-01-01,7c099db665,badf24e062,12,351.0
2010-01-01,7c099db665,badf24e062,13,86001.0
2010-01-01,7c099db665,badf24e062,14,746187.0
2010-01-01,7c099db665,badf24e062,15,1603341.0
2010-01-01,7c099db665,badf24e062,16,1409111.0
2010-01-01,7c099db665,badf24e062,17,248360.0
2010-01-01,7c099db665,badf24e062,18,30463.0
2010-01-01,7c099db665,badf24e062,19,853.0
2010-01-01,7c099db665,badf24e062,20,239.0
2010-01-01,7c099db665,44bd7ae60f,10,16.0
2010-01-01,7c099db665,44bd7ae60f,13,1003.0
2010-01-01,7c099db665,44bd7ae60f,14,78270.0
2010-01-01,7c099db665,44bd7ae60f,15,699228.0
2010-01-01,7c099db665,44bd7ae60f,16,799876.0
2010-01-01,7c099db665,44bd7ae60f,17,193446.0
2010-01-01,7c099db665,44bd7ae60f,18,63091.0
2010-01-01,7c099db665,44bd7ae60f,19,6815.0
2010-01-01,7c099db665,44bd7ae60f,20,2345.0
2010-01-01,7c099db665,d974f028af,14,50925.0
2010-01-01,7c099db665,d974f028af,15,975226.0
2010-01-01,7c099db665,d974f028af,16,1727714.0
2010-01-01,7c099db665,d974f028af,17,1346512.0
2010-01-01,7c099db665,d974f028af,18,450472.0
2010-01-01,7c099db665,d974f028af,19,84408.0
2010-01-01,7c099db665,d974f028af,20,279500.0
2010-01-01,7c099db665,d974f028af,21,2961.0
2010-01-01,7c099db665,d974f028af,22,40974.0
2010-01-01,7c099db665,d974f028af,23,1504.0
2010-01-01,7c099db665,d974f028af,24,3627.0
2010-01-01,7c099db665,d974f028af,25,24.0
2010-01-01,7c099db665,d974f028af,26,745.0
2010-01-01,7c099db665,d974f028af,28,54.0
2010-01-01,7c099db665,d974f028af,30,1.0
2010-01-01,7c099db665,d974f028af,32,0.0
2010-01-01,7c099db665,d974f028af,70,1195.0
2010-01-01,7c099db665,d974f028af,80,68.0
2010-01-01,7c099db665,de5a6f7811,13,194.0
2010-01-01,7c099db665,de5a6f7811,14,267.0
2010-01-01,7c099db665,de5a6f7811,15,61672.0
2010-01-01,7c099db665,de5a6f7811,16,290014.0
2010-01-01,7c099db665,de5a6f7811,17,322911.0
2010-01-01,7c099db665,de5a6f7811,18,56787.0
2010-01-01,7c099db665,de5a6f7811,19,5698.0
2010-01-01,7c099db665,de5a6f7811,20,6650.0
2010-01-01,7c099db665,de5a6f7811,21,0.0
2010-01-01,7c099db665,de5a6f7811,22,0.0
2010-01-01,7c099db665,a7e721a9ec,12,0.0
2010-01-01,7c099db665,a7e721a9ec,13,346.0
2010-01-01,7c099db665,a7e721a9ec,14,3342.0
2010-01-01,7c099db665,a7e721a9ec,15,15460.0
2010-01-01,7c099db665,a7e721a9ec,16,35082.0
2010-01-01,7c099db665,a7e721a9ec,17,16044.0
2010-01-01,7c099db665,a7e721a9ec,18,6209.0
2010-01-01,7c099db665,a7e721a9ec,19,1978.0
2010-01-01,7c099db665,a7e721a9ec,20,744.0
2010-01-01,7c099db665,a7e721a9ec,21,1.0
2010-01-01,7c099db665,a7e721a9ec,22,22.0
2010-01-01,7c099db665,bbeebd879e,13,5.0
2010-01-01,7c099db665,bbeebd879e,14,26.0
